ID;RID;Name;Kontakt;Adresse;Ort;Land;Telefon;Mail;Webseite
1;;Handy Tech Elektronik GmbH;;Brunnenstraße 10;72160 Horb;Germany;+49 7451 5546-0;info@handytech.de;www.handytech.de
2;;Handy Tech Elektronik GmbH, Köln;;Mauritiuskirchplatz 1;50676 Köln;Germany;+49 221 921556-0;koeln@handytech.de;www.handytech.de
3;;Handy Tech Elektronik GmbH, Lüneburg;;Hügelstraße 1;21337 Lüneburg;Germany;+49 4131 699698-0;Lueneburg@handytech.de;www.handytech.de
4;;Handy Tech Elektronik GmbH, Marburg;;Elisabethstraße 17;35037 Marburg;Germany;+49 6421 690012-0;Marburg@handytech.de;www.handytech.de
5;;Handy Tech Elektronik GmbH, Stuttgart;;Fritz-Elsas-Straße 38;70174 Stuttgart;Germany;+49 711 2202299-0;stuttgart@handytech.de;www.handytech.de
6;1;Rohrmüller Computer;Josef Rohrmüller;Wittelsbacher Str. 7;94377 Steinach;Germany;+49 9428 902020;info@rohrmueller-computer.de;www.rohrmueller-computer.de
7;;Humanware Australia;;P.O. Box 944;Baulkham Hills, NSW 2153;Australia;+61 29686 2000;sales@pulsedata.com.au;www.pulsedata.com
8;;TSB Transdanubia;;Floridsdorfer Hauptstraße 28;A 1210 Wien;Austria;+43 1 2788333;office@tsb.co.at;www.tsb.co.at
9;;INTEGRA b.v.b.a.;;Naamsesteenweg 386;B-3001 HEVERLEE;Belgium;+32 16353130;info@integra-belgium.com;www.integra-belgium.com
10;;Croatian Institute for the Blind;;Draskoviceva 80;HR 10000 Zagreb;Croatia;+3851 4812501;;
11;;Näköpiste Polar Print Oy;;Itälahdenkatu 23 A;00210 Helsinki;Finland;+358 9615001-22;rabbe.saxen@polarprint.fi;
12;;Accessolutions;;170, rue Raymond Losserand;F-75014 PARIS;France;+33 1 43 44 02 02;contact@accessolutions.fr;www.accessolutions.fr
13;;IGI Group headquarters;;88 Michalachopoulou Str;11528 Athen;Greece;+30 210 7474035;info@igi-group.com;
14;13;Retail selling point;Athanasios Giannaros;29 Mikras Asias Str;11527 Athen;Greece;+30 210 7759159;istos@igi-group.com;
15;;ACS Data Systems AG;;Brennerstraße 72;39042 Brixen/Bressanone;Italy;+39 0472 272727;info@acs.it;www.acs.it
16;15;Integrabilia;Carlo Batiston;Via Umberto I, 4;35010 Vigonza (PD);Italy;+39 49 8952978;info@integrabilia.com;www.integrabilia.com
17;1;INFO SYSTEMS;Rita Sieberger;47, Rue de Strassen;8094 Bertrange;Luxembourg;+352 2631 431;infosys@pt.lu;www.infosystems.lu
18;;Computer&Braille Systems;;Sed al Baouchrieh, Raymond Fayad Center, 6th floor;Beirut;Lebanon;+961 1 885370;dissa@dm.net.lb;
19;20;rdg Kompagne;Maria Noyons;Winthontlaan 200;3526 KV Utrecht;Netherlands;+31 30287 0564;info@rdgkompagne.nl;www.rdgkompagne.nl
20;;Babbage;;Beverenlaan 1;4706 VM Roosendaal;Netherlands;+31 165 536156;info@babbage.com;www.babbage.com
21;;Handy Tech Norge AS;;Fossumveien 70;N-1359 Eiksmarka;Norway;+47 2325 3090;post@handytech.no;www.handytech.no
22;;MEDISON;;ul. Witosa 18;25-561 Kielce;Poland;+48 413417001;wojciech-maj@wp.pl;
23;;Tiflotecnia-Consultoria e distribucao;;Rua del Norte, 18 Alto dos Lombos, PT 2775-673;Carcavelos;Portugal;+351 21456-9000;tiflotecnia@tiflotecnia.com;
24;;FMC d.o.o.;;Letaliska c. 32;1000 Ljubljana;Slovenia;+386 1 5205168;info-slepi@miska.si;www.miska.si
25;;ICAP AB;;Karl Johansgatan 42;S 41459 Göteborg;Sweden;+46 317043099;info@icap.nu;www.icap.nu
26;31;EDV-Schulung und Beratung;Irma Schiegg;Johanniterstraße 1;CH-3047 Bremgarten Bern;Switzerland;+41 31 3020177;schiegg_edv.schulung@bluewin.ch;
27;;Beyid LTD;;Feridiye caddesi Fidan apartmani No: 21/2;34437 Taksim, Istanbul ;Turkey;+90 212 238 2008;info@beyid.com;www.beyid.com
28;;Nattiq Technologies;;p.o.box 33103, Buhaira Corniche-Sharjah;Dubai;U.A.E.;+971 65749995;auda@nattiq.com;www.nattiq.com
29;;Triumph Technology, LLC.;;4110 Central Ave. NE., Suite 104;Columbia Heights, MN   55421;United States;+1 651 636 5184;info@handytech.us;www.handytech.us
30;;The Force Ten Co. Ltd.;;6 Beckley Parade, Leatherhead Road;KT23 4RQ, Great Bookham, Surrey;United Kingdom;+44 1372 450887;norman@forcetenco.co.uk;www.forcetenco.co.uk
31;;Tools4theBlind GmbH;;Schaffhauserstraße 15;8400 Winterthur;Switzerland;+41 52 2221199;administration@tools4theblind.ch;www.tools4theblind.ch
32;;Reinecker Reha-Technik GmbH;;Sandwiesenstraße 19;64665 Alsbach-Hähnlein;Germany;+49 1805 545665;info@reineckerreha.de;www.reineckerreha.de
33;;Enabling Services;;Plot 5 Essex Gardens, Kyambogo Lower Estate;Kampala;Uganda;+256 414 289151;nayinda@esulservices.com;www.esulservices.com
34;;Potential Resources Company;;Java Communications Centre, 128 Java Road;North Point Hong Kong;Hong Kong S.A.R.;+852 27822050;info@prchk.com.hk;www.prchk.com.hk
35;;Ataraxia, Lda;;Rua José Saramago Lote 502 - cave;1675-180 Pontinha;Portugal;+351 211452-050;ataraxia@ataraxia.pt;www.ataraxia.pt
36;;Alko-soft Supplier Co.;;Kánai u. 5;1112 Budapest;Hungary;+3620 316-4175;info@handy-tech.hu;www.handy-tech.hu
37;;KOBA Vision;;De Oude Hoeven 6;B-3971 Leopoldsburg;Belgium;+32 11 34 45 13;info@kobavision.be;www.kobavision.be
